dateCrawled;name;seller;offerType;price;abtest;vehicleType;yearOfRegistration;gearbox;powerPS;model;kilometer;monthOfRegistration;fuelType;brand;notRepairedDamage;dateCreated;nrOfPictures;postalCode;lastSeen
31/03/2016 00:59;Mercedes_Benz_GLK_250_BlueTEC_4Matic_Standhzg_Alcantara_Voll;privat;Angebot;41900;control;suv;2014;automatik;204;glk;40000;9;diesel;mercedes_benz;nein;30/03/2016 00:00;0;82131;06/04/2016 01:17
22/03/2016 10:25;Ford_Kuga_2.0_TDCi_4x4_Individual__Navi__Xenon__AHK;privat;Angebot;25950;test;suv;2014;manuell;163;kuga;30000;7;diesel;ford;nein;22/03/2016 00:00;0;57080;06/04/2016 07:44
15/03/2016 14:53;Dacia_Duster_1.6_16V_105_4x2_Ice_mit_sportlichen_Alufelgen_8_fach;privat;Angebot;9999;control;suv;2014;manuell;105;duster;30000;7;benzin;dacia;nein;15/03/2016 00:00;0;72622;19/03/2016 09:16
08/03/2016 01:59;Land_Rover_Discovery_4_SD_V6_HSE_Facelift_7_Sitzer;privat;Angebot;50950;control;suv;2014;automatik;256;discovery;20000;3;diesel;land_rover;nein;08/03/2016 00:00;0;50859;17/03/2016 05:45
05/04/2016 10:46;BMW_X3_f25;privat;Angebot;42500;control;suv;2014;automatik;190;x_reihe;30000;8;diesel;bmw;nein;05/04/2016 00:00;0;93049;07/04/2016 13:17
05/03/2016 14:53;Opel_Mokka_1.6_CDTI_Automatik_Innovation;privat;Angebot;23300;control;suv;2015;automatik;136;andere;30000;7;diesel;opel;nein;05/03/2016 00:00;0;56335;06/04/2016 22:17
31/03/2016 05:36;Audi_Q3_2.0_TDI_AHK/Xenon/Navi/SHZ/5_J._Garantie/PDC;privat;Angebot;29100;test;suv;2014;manuell;140;q3;10000;12;diesel;audi;;31/03/2016 00:00;0;91792;06/04/2016 02:16
28/03/2016 19:21;Mazda_VOLLAUSSTATTUNG_CX_5_2.2_AWD_Aut_Sports_Line_AHK;privat;Angebot;28800;test;suv;2014;automatik;175;cx_reihe;30000;1;diesel;mazda;nein;27/03/2016 00:00;0;65835;06/04/2016 03:15
19/03/2016 15:56;Land_Rover_Freelander_TD4_Aut._SE;privat;Angebot;27500;control;suv;2014;automatik;150;freelander;40000;2;diesel;land_rover;nein;19/03/2016 00:00;0;63846;19/03/2016 15:56
05/03/2016 14:48;Kia_Sportage_2.0_CRDi_184_AWD_Aut._Platinum_Edition;privat;Angebot;28950;control;suv;2015;automatik;184;sportage;5000;3;diesel;kia;nein;05/03/2016 00:00;0;81373;05/03/2016 17:45
25/03/2016 22:37;Nissan_X_Trail_1.6_dCi_ALL_MODE_4x4i_360;privat;Angebot;25000;control;suv;2015;manuell;131;x_trail;20000;4;diesel;nissan;nein;25/03/2016 00:00;0;37269;05/04/2016 12:44
09/03/2016 20:49;Skoda_Yeti_1.2_TSI_Active_Plus;privat;Angebot;13500;test;suv;2015;manuell;105;yeti;10000;3;benzin;skoda;nein;09/03/2016 00:00;0;38446;12/03/2016 22:45
27/03/2016 00:50;Land_Rover_Def.110_1._Hand_Topzustand_Vollleder_Einbaunavi;privat;Angebot;43550;test;suv;2014;manuell;122;defender;20000;9;diesel;land_rover;nein;26/03/2016 00:00;0;93055;07/04/2016 03:16
29/03/2016 13:45;Ford_Kuga_2.0_TDCi_4x4_Aut._Titanium_NAVI_Leder;privat;Angebot;19999;control;suv;2014;automatik;163;kuga;90000;6;diesel;ford;nein;29/03/2016 00:00;0;58256;05/04/2016 22:47
05/04/2016 10:49;Land_Rover_Defender_90_DPF_Station_Wagon_Heritage;privat;Angebot;59900;control;suv;2016;manuell;122;defender;5000;2;diesel;land_rover;nein;05/04/2016 00:00;0;21220;07/04/2016 14:56
14/03/2016 13:54;Mazda_CX_3_SKYACTIV_G_150_SKYACTIV_Drive_AWD_Sport...;privat;Angebot;24500;test;suv;2015;automatik;150;cx_reihe;5000;12;benzin;mazda;nein;14/03/2016 00:00;0;9131;05/04/2016 15:15
31/03/2016 21:37;Mazda_CX_5_SKYACTIV_D_175_AWD_Sports_Line;privat;Angebot;28750;test;suv;2015;manuell;175;cx_reihe;20000;5;diesel;mazda;nein;31/03/2016 00:00;0;2748;06/04/2016 16:45
30/03/2016 17:50;Opel_Mokka_1.7_CDTI_Automatik_Innovation;privat;Angebot;18500;control;suv;2014;automatik;131;andere;70000;3;diesel;opel;nein;30/03/2016 00:00;0;84533;07/04/2016 08:45
